aircraft_id,class,seat_count
1,F,17
1,P,18
1,C,16
1,J,17
1,Z,19
1,Q,11
1,R,9
1,S,8
1,T,13
1,W,7
1,M,7
1,Y,12
1,A,11
1,B,12
1,D,10
1,G,13
1,I,11
1,E,7
1,K,9
1,L,9
1,N,9
1,O,12
1,U,10
1,V,12
1,W,7
1,X,12
2,F,7
2,P,5
2,C,6
2,J,5
2,Z,4
2,Q,5
2,R,6
2,S,6
2,T,0
2,W,2
2,M,6
2,Y,5
2,A,2
2,B,6
2,D,1
2,G,4
2,I,4
2,E,2
2,K,6
2,L,5
2,N,6
2,O,1
2,U,2
2,V,0
2,W,3
2,X,1
3,F,19
3,P,21
3,Q,15
3,R,16
3,S,16
3,T,14
3,W,11
3,M,16
3,Y,13
3,A,15
3,B,15
3,D,16
3,G,15
3,I,15
3,E,10
3,K,10
3,L,15
3,N,15
3,O,15
3,U,14
3,V,15
3,W,13
3,X,10
4,F,4
4,P,8
4,C,4
4,J,6
4,Z,7
4,Q,1
4,R,0
4,S,2
4,T,2
4,W,5
4,M,3
4,Y,1
4,A,1
4,B,1
4,D,0
4,G,1
4,I,2
4,E,0
4,K,2
4,L,5
4,N,4
4,O,6
4,U,5
4,V,4
4,W,1
4,X,0
5,C,9
5,J,7
5,Z,7
5,Q,5
5,R,1
5,S,6
5,T,2
5,W,4
5,M,2
5,Y,3
5,A,6
5,B,4
5,D,2
5,G,2
5,I,2
5,E,6
5,K,1
5,L,2
5,N,5
5,O,6
5,U,6
5,V,5
5,W,3
5,X,5
6,F,6
6,P,5
6,Q,0
6,R,2
6,S,3
6,T,2
6,W,2
6,M,2
6,Y,0
6,A,4
6,B,4
6,D,3
6,G,1
6,I,2
6,E,0
6,K,0
6,L,5
6,N,5
6,O,3
6,U,4
6,V,0
6,W,5
6,X,0
7,F,18
7,P,21
7,C,25
7,J,24
7,Z,26
7,Q,15
7,R,12
7,S,15
7,T,12
7,W,12
7,M,16
7,Y,10
7,A,16
7,B,10
7,D,14
7,G,15
7,I,15
7,E,13
7,K,11
7,L,15
7,N,13
7,O,12
7,U,10
7,V,16
7,W,10
7,X,14
8,F,15
8,P,12
8,C,21
8,J,20
8,Z,15
8,Q,7
8,R,11
8,S,10
8,T,8
8,W,10
8,M,12
8,Y,13
8,A,7
8,B,13
8,D,9
8,G,7
8,I,13
8,E,12
8,K,7
8,L,13
8,N,8
8,O,7
8,U,11
8,V,10
8,W,8
8,X,12
9,F,1
9,P,5
9,C,1
9,J,2
9,Z,5
9,Q,1
9,R,3
9,S,0
9,T,5
9,W,0
9,M,4
9,Y,5
9,A,2
9,B,5
9,D,4
9,G,4
9,I,4
9,E,0
9,K,2
9,L,1
9,N,4
9,O,5
9,U,0
9,V,4
9,W,4
9,X,5
10,F,20
10,P,21
10,C,21
10,J,20
10,Z,19
10,Q,14
10,R,15
10,S,11
10,T,14
10,W,15
10,M,16
10,Y,15
10,A,9
10,B,10
10,D,14
10,G,14
10,I,10
10,E,13
10,K,12
10,L,14
10,N,9
10,O,12
10,U,9
10,V,10
10,W,14
10,X,11
11,F,5
11,P,2
11,C,6
11,J,5
11,Z,5
11,Q,3
11,R,4
11,S,3
11,T,3
11,W,5
11,M,3
11,Y,6
11,A,4
11,B,3
11,D,0
11,G,6
11,I,4
11,E,4
11,K,6
11,L,5
11,N,0
11,O,2
11,U,1
11,V,4
11,W,4
11,X,3
12,F,14
12,P,18
12,C,19
12,J,16
12,Z,19
12,Q,11
12,R,13
12,S,13
12,T,10
12,W,12
12,M,12
12,Y,11
12,A,11
12,B,10
12,D,9
12,G,7
12,I,7
12,E,13
12,K,10
12,L,7
12,N,9
12,O,13
12,U,12
12,V,9
12,W,13
12,X,8
13,F,4
13,P,4
13,Q,2
13,R,1
13,S,6
13,T,4
13,W,2
13,M,3
13,Y,6
13,A,3
13,B,2
13,D,5
13,G,6
13,I,4
13,E,1
13,K,3
13,L,5
13,N,4
13,O,0
13,U,1
13,V,5
13,W,2
13,X,0
14,F,4
14,P,0
14,C,7
14,J,6
14,Z,5
14,Q,0
14,R,0
14,S,1
14,T,4
14,W,5
14,M,0
14,Y,5
14,A,5
14,B,0
14,D,3
14,G,3
14,I,1
14,E,2
14,K,2
14,L,5
14,N,4
14,O,3
14,U,3
14,V,5
14,W,2
14,X,1
15,C,18
15,J,18
15,Z,20
15,Q,15
15,R,11
15,S,15
15,T,16
15,W,11
15,M,11
15,Y,12
15,A,14
15,B,15
15,D,15
15,G,14
15,I,14
15,E,11
15,K,14
15,L,10
15,N,9
15,O,12
15,U,13
15,V,10
15,W,15
15,X,13
16,F,13
16,P,12
16,C,20
16,J,19
16,Z,17
16,Q,9
16,R,9
16,S,9
16,T,13
16,W,12
16,M,9
16,Y,8
16,A,12
16,B,8
16,D,9
16,G,8
16,I,12
16,E,13
16,K,12
16,L,11
16,N,10
16,O,9
16,U,9
16,V,13
16,W,12
16,X,9
17,F,19
17,P,21
17,C,24
17,J,27
17,Z,26
17,Q,17
17,R,11
17,S,12
17,T,13
17,W,15
17,M,15
17,Y,10
17,A,11
17,B,16
17,D,13
17,G,15
17,I,16
17,E,11
17,K,12
17,L,12
17,N,15
17,O,11
17,U,16
17,V,16
17,W,10
17,X,13
18,F,10
18,P,10
18,C,7
18,J,11
18,Z,11
18,Q,7
18,R,4
18,S,2
18,T,6
18,W,6
18,M,3
18,Y,6
18,A,4
18,B,4
18,D,6
18,G,4
18,I,4
18,E,7
18,K,8
18,L,3
18,N,4
18,O,8
18,U,4
18,V,8
18,W,7
18,X,5
19,F,1
19,P,1
19,Q,2
19,R,4
19,S,0
19,T,5
19,W,3
19,M,4
19,Y,4
19,A,2
19,B,1
19,D,3
19,G,5
19,I,1
19,E,0
19,K,3
19,L,0
19,N,2
19,O,0
19,U,2
19,V,1
19,W,2
19,X,5
20,F,23
20,P,22
20,C,27
20,J,24
20,Z,25
20,Q,11
20,R,16
20,S,12
20,T,17
20,W,13
20,M,17
20,Y,16
20,A,12
20,B,11
20,D,14
20,G,10
20,I,12
20,E,13
20,K,14
20,L,11
20,N,14
20,O,12
20,U,12
20,V,15
20,W,16
20,X,10
21,F,15
21,P,16
21,C,20
21,J,17
21,Z,21
21,Q,9
21,R,13
21,S,12
21,T,13
21,W,10
21,M,12
21,Y,13
21,A,7
21,B,10
21,D,10
21,G,7
21,I,7
21,E,7
21,K,8
21,L,10
21,N,10
21,O,9
21,U,11
21,V,12
21,W,8
21,X,13
22,F,6
22,P,2
22,C,6
22,J,6
22,Z,6
22,Q,0
22,R,5
22,S,6
22,T,0
22,W,4
22,M,4
22,Y,1
22,A,6
22,B,1
22,D,3
22,G,1
22,I,6
22,E,0
22,K,0
22,L,5
22,N,1
22,O,2
22,U,4
22,V,4
22,W,6
22,X,6
23,F,15
23,P,17
23,C,16
23,J,17
23,Z,18
23,Q,8
23,R,9
23,S,10
23,T,13
23,W,9
23,M,7
23,Y,10
23,A,7
23,B,9
23,D,13
23,G,10
23,I,10
23,E,7
23,K,10
23,L,7
23,N,10
23,O,13
23,U,10
23,V,13
23,W,9
